Endothelial	InnateLymphoid	Leydig	Macrophage	Myoid	Sertoli	Unknown
1700006J14Rik	0.174565391165271	0.0556366495214918	0.0143721933496581	0.203448378536632	0.236748625807539	0.241013439156853	0.10083754070633
1700006P03Rik	0.0152436631647147	0	0	0.0120226702191735	0	0.0505024933180852	0
1700007B14Rik	0.0783331700882169	0.0338446359045812	0.031857807351565	0.127635106160558	0.132495749673707	0.360060489595429	0.115009170323915
1700007E05Rik	0	0	0.00632526780514042	0	0	0.00761706447513067	0
1700007F19Rik	0.0236037591416504	0	0	0	0	0.0330962507180349	0.0122284706113875
1700007G11Rik	0.0292369760707327	0.100657473645269	0.0148065305879407	0.356967502962932	0.219132282977022	0.23333137322733	0.105196279946236
1700007J10Rik	0	0	0	0	0	0.0124055170092197	0
1700007K09Rik	0	0.104252306884549	0.0153534570461315	0.0829194236850967	0	0.170439742806168	0.0877100560307799
1700007K13Rik	0	0	0.17682894215511	0.0293568298414908	0.310155903372869	0.160646387963455	0.0879597949919376
1700007L15Rik	0.0242604150678748	0.0372055650071569	0.0749283127926911	0.0857613302469731	0.184538257854997	0.189252061241283	0.0442447638296448
1700007P06Rik	0.0492254603917706	0.157479808037914	0.0805539096365384	0.230960036455239	0.161932528274409	0.194504127374612	0.0235954911704923
1700008A23Rik	0	0	0	0	0	0.0713940833499365	0.00565053086782183
1700008F21Rik	0.205935583125741	0.188208683104076	0.0936040935787423	0.0157643514828951	0	0.506877567021837	0.189346606815324
1700008J07Rik	0	0	0.0519470258307352	0.131049660289467	0	0.211686582641566	0.113247241339164
1700008K24Rik	0.292916836303597	0.260021534318821	0.146363645602622	0.542087105915989	0.560038910143635	0.973761059530129	0.382328670749886
1700008O03Rik	0	0	0.0209814925892614	0.0274099542320031	0	0.0635179335578058	0.0261255413919912
1700008P02Rik	0.0535789813942706	0	0.00139674776076979	0.0461507655902703	0	0.202982346192371	0.0150998208703434
1700009C05Rik	0.0121187457571168	0	0.0524340725353229	0.0267960975209057	0.111267756335116	0.0376785971421416	0.0170387636991033
1700009J07Rik	0.0852484075534313	0.063098082369491	0.0324706091906066	0.0861449861400408	0.185041652659437	0.348838723822587	0.0546808149432682
1700009N14Rik	0.28560043183371	0.292426971843235	0.138216178813944	0.525753101507557	0.386719071857049	1.37585440597414	0.307364881591337
1700010B08Rik	0.0924557232540517	0.211434938047798	0.0880092428736046	0.265201990642159	0.240961575076113	0.275981675638172	0.127609781235472
1700010B13Rik	0	0	0.0425634764094754	0.0620875037329458	0	0.0292526951722782	0.0149697266528275
1700010D01Rik	0.0697686227003215	0	0.059612646139454	0.183906769162393	0.281478484733171	0.525015348428968	0.0751353819326061
1700010H22Rik	0	0.137422696022849	0	0.0266570853264597	0.240961575076113	0.0395245972877286	0.0407148224729076
1700010I02Rik	0	0	0	0.00602940307566936	0	0.0406898502525888	0.0252108318796323
1700010I14Rik	0.17468341160078	0.801153698513765	0.386493471914405	0.895992617667987	0.520812125444242	0.930134300129198	0.539836443075619
1700010J16Rik	0	0.0789102505252087	0.0308085243525024	0.0311468217985806	0	0.0736860137760841	0.0173616041623441
1700010K23Rik	0.152123190431427	0.145000352175376	0.0359571170048736	0.103113212816135	0	0.251583932011348	0.116943583838409
1700010K24Rik	0	0	0.00430405113657604	0.0581295442262051	0	0.0117196683940087	0.0157197138098965
1700010L04Rik	0	0	0	0	0	0.00481840247952388	0.00496408377675238
1700010N08Rik	0	0	0	0.0182879962902982	0	0.00536703105366045	0.0115061322596018
1700011A15Rik	0	0.125421918890589	0.0762551480857956	0.183855812060063	0.189956925297914	0.219199836107245	0.0995658532766087
1700011B04Rik	0	0	0.0110776716989793	0	0	0.0164259680012527	0.00510916381760267
1700011E24Rik	0.230739573701138	0.174457411930666	0.145379756075907	0.27430543126232	0	0.44044355927552	0.214559211815892
1700011H14Rik	0.0330070338197219	0	0.0191096334678073	0.0620937903972352	0	0.288933793982433	0.0579732107072298
1700011I03Rik	0.173173864677207	0	0.076160604414661	0.259790127751981	0	0.225528940040598	0.100375050758643
1700011L22Rik	0.174173878460885	0.218160824610076	0.132006844903533	0.32518001731929	0.17064728907329	0.438988090885778	0.157192661108493
1700011M02Rik	0.0154845000268171	0	0.0532105016727679	0.0187016067142655	0.104268627027535	2.43798074411911	0.0124627164050675
1700012A03Rik	0.130939323425261	0.293392084324389	0.0859222048228495	0.384806254361536	0.177208857007673	1.1261032278931	0.156995885728403
1700012B07Rik	0.0952571925274359	0.179013447297584	0.0497746954547226	0.186165068321374	0.352954938235037	0.439923595252947	0.143340245996019
1700012B09Rik	0.174354692735301	0.104252306884549	0.0798229929146839	0.336873783934789	0.185474319509064	0.325909035704498	0.171954241058642
1700012C14Rik	0	0	0.0186711946143603	0	0.144679115667451	0.0431846520881613	0.021738322448127
1700012E03Rik	0	0.0591776596098886	0	0	0	0.0125141484247066	0
1700012J22Rik	0	0	0.0098267128854435	0	0	0.0127027097017525	0.01217532678683
1700012L04Rik	0	0	0.00487935803394681	0.0490993875739085	0.161932528274409	0.0634702568910733	0.0167281559535052
1700012P22Rik	0.0253841995875053	0.122883904587807	0.0365832911034248	0.0572523432314674	0.22875160796475	0.0739344034289726	0.0247926790019699
1700013D24Rik	0.112651762097666	0.199364417593309	0.0731995308650889	0.319781014493612	0	0.397240954955764	0.169177331706148
1700013F07Rik	0.149125367954563	0.426494357459462	0.120148292735436	0.198696455804044	0.280984264743041	0.549771887547333	0.202378713771099
1700013G24Rik	0.223114285475151	0.332025868418037	0.12920251565069	0.331566179810697	0.233078276479476	0.863476629279041	0.194899551231368
1700013H16Rik	0.115213930588042	0	0.0208476675589446	0.090754207743706	0.109065371687096	0.126671136194565	0.047282841761072
1700013N06Rik	0	0	0.00465131396076722	0	0	0.00587274099788606	0.000728272478910735
1700014D04Rik	0.0640583646514466	0	0.0103217968433272	0.138722381542579	0.0684406620565912	0.0983656267830591	0.0236587806650319
1700015E13Rik	0.121436826946275	0.266376230534084	0.133538683037432	0.522220979872953	0	0.398236101014275	0.19364220783129
